Ingrediente,Inclusao_%,Preco_R$/kg
Sorgo. Grão,61.0572,0.68
Milheto. Grão,30.8419,0.6
Plasma Sanguíneo,3.7843,3.0
F. Carne e ossos Bovino,3.7326,0.9
Lisina - HCl,0.2774,15.3
Metionina,0.2552,15.0
Treonina,0.0458,18.0
Triptofano,0.0056,30.0
