Ingrediente,Inclusao_%,Preco_R$/kg
Sorgo. Grão,84.2775,0.68
Plasma Sanguíneo,8.9781,3.0
F. Carne e ossos Bovino,5.9489,0.9
Metionina,0.4249,15.0
Lisina - HCl,0.2627,15.3
Treonina,0.0797,18.0
Triptofano,0.0282,30.0
